postcode,suburb,state,lat,lng
800,DARWIN,NT,-12.801028,130.955789
801,DARWIN,NT,-12.801028,130.955789
804,PARAP,NT,-12.432181,130.84331
810,ALAWA,NT,-12.378451,130.877014
810,BRINKIN,NT,-12.367769,130.869808
810,CASUARINA,NT,-12.376597,130.850489
810,JINGILI,NT,-12.385761,130.873726
810,LEE POINT,NT,-12.360865,130.891349
810,MILLNER,NT,-12.39087,130.864144
810,MOIL,NT,-12.387001,130.879351
810,NAKARA,NT,-12.369175,130.87899
810,NIGHTCLIFF,NT,-12.382572,130.853877
810,RAPID CREEK,NT,-12.387231,130.864402
810,TIWI,NT,-12.363913,130.87719